[2025-10-26 16:41:57] SUCCESS - Service: CompressPDF, File: sample.pdf, Message: Fallback: arquivo copiado
[2025-10-26 16:41:57] SUCCESS - Service: ConvertImageFormat, File: pixel.png, Message: Fallback: cópia
[2025-10-26 16:41:57] SUCCESS - Service: ResizeImage, File: pixel.png, Message: Fallback: cópia
[2025-10-26 20:30:21] SUCCESS - Service: CompressPDF, File: sample.pdf, Message: PDF comprimido
[2025-10-26 20:30:21] FAIL - Service: ConvertToTXT, File: sample.pdf, Message: Falha pdftotext
[2025-10-26 20:30:21] FAIL - Service: ConvertImageFormat, File: pixel.png, Message: Falha ImageMagick
[2025-10-26 20:30:21] FAIL - Service: ResizeImage, File: pixel.png, Message: Falha ImageMagick
[2025-10-26 20:32:14] SUCCESS - Service: CompressPDF, File: sample.pdf, Message: PDF comprimido
[2025-10-26 20:32:15] FAIL - Service: ConvertToTXT, File: sample.pdf, Message: Falha pdftotext
[2025-10-26 20:32:15] FAIL - Service: ConvertImageFormat, File: pixel.png, Message: Falha ImageMagick
[2025-10-26 20:32:15] FAIL - Service: ResizeImage, File: pixel.png, Message: Falha ImageMagick
